Pos_x,Pos_y,Pos_z
-0.06422198,1.7511290000000002,-0.04962459
-0.06387264,1.751109,-0.04954587
-0.06376785,1.751032,-0.04957081
-0.06375211,1.7510279999999998,-0.04955035
-0.06374437,1.751034,-0.04954375
-0.06375545,1.7510400000000002,-0.04954119
-0.06376988,1.751045,-0.049542199999999995
-0.06375229,1.7510150000000002,-0.04953097
-0.06370729,1.751009,-0.04952489
-0.06367636,1.751004,-0.04948974
-0.06366879,1.750995,-0.04946046
-0.06366169,1.7509720000000002,-0.04943432
-0.06361747,1.750938,-0.04940285
-0.0635761,1.750909,-0.04936805
-0.06354183,1.750905,-0.04933086
-0.06357473,1.750959,-0.04929028
-0.06359667,1.750968,-0.04927137
-0.06361276,1.7509740000000003,-0.04925029
-0.0636223,1.7509880000000002,-0.04925302
-0.06362998,1.751037,-0.04921228
-0.0636363,1.751084,-0.0491702
-0.06364417,1.7511419999999998,-0.04913647
-0.06365776,1.751209,-0.04913922
-0.06367022,1.7512759999999998,-0.04914801
-0.06371039,1.7513419999999997,-0.0491481
-0.06375164,1.7513729999999998,-0.04913534
-0.06374329,1.751409,-0.04915704
-0.06376445,1.751397,-0.04919423
-0.06375682,1.751381,-0.04922839
-0.06374991,1.751355,-0.04926232
-0.06375748,1.751338,-0.04928479
-0.06376135,1.751318,-0.04927896
-0.06377321,1.751324,-0.04927762
-0.06380892,1.751325,-0.04925133
-0.06385082,1.7513299999999998,-0.04924169
-0.0639146,1.751337,-0.04922806
-0.06395191,1.7513330000000003,-0.04924059
-0.06399506,1.7513169999999998,-0.04925171
-0.06404096,1.751325,-0.04927309
-0.06410557,1.7513029999999998,-0.04926321
-0.06412512,1.7513029999999998,-0.04925558
-0.06415951,1.7512869999999998,-0.04920691
-0.06417662,1.7513439999999998,-0.04916641
-0.06421,1.751416,-0.04909067
-0.06423396,1.751438,-0.04902624
-0.06424052,1.751479,-0.04894283
-0.06426841,1.7515180000000001,-0.04883265
-0.06424195,1.751642,-0.04866821
-0.06423575,1.751732,-0.04853877
-0.06421929999999999,1.751809,-0.04839928
-0.06425214,1.751895,-0.04821269
-0.06427091,1.752029,-0.04794161
-0.06430906,1.752198,-0.04771665
-0.06436092,1.75243,-0.04737712
-0.06442624,1.752995,-0.04693362
-0.06450552,1.7531599999999998,-0.04655796
-0.06461364,1.7532709999999998,-0.04617923
-0.06465989,1.7533349999999999,-0.04581191
-0.06469214,1.7533860000000001,-0.04547013
-0.06478745,1.753539,-0.04518829
-0.06485265,1.753687,-0.04489143
-0.06494588,1.753809,-0.04459357
-0.06498319,1.7539330000000002,-0.04437657
-0.06509477,1.7541759999999997,-0.04416633
-0.06515974,1.7542650000000002,-0.04399177
-0.06525999,1.754246,-0.04380904
-0.06531346,1.754184,-0.04363941
-0.06539249,1.754393,-0.04349624
-0.06547493,1.754404,-0.04334281
-0.06556326,1.7543950000000001,-0.04318476
-0.06555134,1.7543220000000002,-0.04307178
-0.06558245,1.7542779999999998,-0.04295152
-0.06561613,1.754287,-0.04283097
-0.06561059,1.7542650000000002,-0.04276012
-0.06558424,1.7541939999999998,-0.04272994
-0.06554586,1.754066,-0.04271701
-0.0655145,1.7539919999999998,-0.04263304
-0.06552225,1.754005,-0.04256429
-0.06553942,1.7541189999999998,-0.04248205
-0.06553501,1.7542259999999998,-0.04225039
-0.06549728,1.7543,-0.04219152
-0.06546319,1.7543099999999998,-0.04219638
-0.06537539,1.754209,-0.04228754
-0.06525469,1.75404,-0.04246566
-0.06521207,1.75403,-0.04252878
-0.06510717,1.7540209999999998,-0.04264706
-0.06506544,1.7540529999999999,-0.04279992
-0.065036,1.754099,-0.04310252
-0.06499022,1.7541330000000002,-0.04329175
-0.06493562,1.7541799999999999,-0.04349816
-0.06485415,1.7542830000000003,-0.04379497
-0.06486535,1.7544669999999998,-0.0443102
-0.06485617,1.754557,-0.04463921
-0.06477815,1.754998,-0.04516698
-0.06455398,1.7552159999999999,-0.04553966
-0.06440604,1.7551880000000002,-0.04594034
-0.06432116,1.7552159999999999,-0.04627965
-0.06424385,1.755209,-0.04666647
-0.06416041,1.75521,-0.04707149
-0.06402946,1.7551880000000002,-0.04748313
-0.06385761,1.7550169999999998,-0.04784174
-0.06373191,1.75478,-0.04824895
-0.06367338,1.754527,-0.04860769
-0.0636192,1.754478,-0.04901503
-0.0635218,1.754474,-0.0493533
-0.06343359,1.754641,-0.04960936
-0.06331915,1.754863,-0.04986344
-0.06318182,1.754789,-0.05003256
-0.06308931,1.754703,-0.05032164
-0.06298757,1.7545490000000001,-0.05057034
-0.06285727,1.75443,-0.05080448
-0.06275064,1.754444,-0.05096892
-0.06259602,1.7544669999999998,-0.05116074
-0.06242186,1.75455,-0.05131701
-0.06238616,1.7544419999999998,-0.05155478
-0.06223875,1.7544830000000002,-0.05166546
-0.0620932,1.754478,-0.05182019
-0.06194812,1.754464,-0.05198817
-0.06181771,1.7543990000000003,-0.05212155
-0.06165534,1.754341,-0.05221061
-0.061523800000000003,1.75435,-0.05232158
-0.06142259,1.7543950000000001,-0.05237107
-0.06132406,1.7544689999999998,-0.05241351
-0.06126446,1.7545119999999998,-0.05240841
-0.06122041,1.7545389999999998,-0.05241975
-0.06123787,1.7545529999999998,-0.05239992
-0.06120294,1.7545650000000002,-0.05239086
-0.06117207,1.754577,-0.05229485
-0.06116223,1.754614,-0.05220726
-0.06110996,1.754603,-0.05211312
-0.06105584,1.75457,-0.05200067
-0.06102854,1.7545130000000002,-0.05187105
-0.06102103,1.7544380000000002,-0.05177662
-0.06101233,1.754388,-0.05169114
-0.06102872,1.75432,-0.05160943
-0.06105727,1.754217,-0.05154052
-0.06109005,1.754152,-0.05147234
-0.06111389,1.7541209999999998,-0.05140492
-0.06114626,1.754075,-0.05133212
-0.06120127,1.754075,-0.05126908
-0.06126934,1.754077,-0.05121119
-0.06130767,1.7540509999999998,-0.05118532
-0.06137663,1.754029,-0.05117787
-0.06141996,1.754044,-0.05121768
-0.06149739,1.7540689999999999,-0.05126768
-0.06155705,1.754087,-0.05132374
-0.06160349,1.754125,-0.05137575
-0.06164843,1.7541209999999998,-0.051419000000000006
-0.06171048,1.7541330000000002,-0.05146377
-0.06178254,1.7541689999999999,-0.05151162
-0.06186479,1.754213,-0.05154790000000001
-0.061900199999999996,1.7542349999999998,-0.05157518
-0.06193155,1.754241,-0.05160296
-0.06197703,1.7542529999999998,-0.05163968
-0.0620262,1.75425,-0.05168422
-0.06205577,1.754241,-0.05174442
-0.06207812,1.7542369999999998,-0.05179174
-0.06209916,1.7542229999999999,-0.05183508
-0.06214601,1.754218,-0.05189544
-0.06218845,1.754197,-0.05198856
-0.06221372,1.7541799999999999,-0.05204195
-0.06224388,1.754154,-0.05208334
-0.06226695,1.7541509999999998,-0.05213259
-0.06232530000000001,1.7541810000000002,-0.05217904
-0.06237417,1.7542099999999998,-0.05222686
-0.06242383,1.754213,-0.05224438
-0.0624361,1.754209,-0.05227806
-0.06247181,1.754214,-0.05229093
-0.06251752,1.7542369999999998,-0.0523138
-0.06257457,1.7542380000000002,-0.05232129
-0.06261081,1.754227,-0.05233529
-0.06265539,1.7542,-0.05233647
-0.06270593,1.7541939999999998,-0.05232769
