"ID","file","Time_s_","Acc_x","Acc_y","Acc_z","Velo_x","Velo_y","Velo_z","Pos_x","Pos_y","Pos_z"
"ME_M_4","5-19",5.157981,-0.04618177,0.02446056,-0.02907911,-0.002571659,-0.002677416,-0.0002841908,0.06737266,1.83656,0.004090667
"ME_M_4","5-19",5.16738,-0.04494425,-0.004000831,0.008114119,-0.002757157,-0.002378308,-0.0004292493,0.06731458,1.836545,0.004078448
"ME_M_4","5-19",5.177712,-0.06274957,-0.02686351,0.01872466,-0.002993267,-0.002529154,-0.0003810219,0.06725405,1.836493,0.004078686
"ME_M_4","5-19",5.196993,-0.04309878,-0.01263404,-0.03008933,-0.003421325,-0.002522784,-0.000559792,0.06720315,1.836488,0.004042208
"ME_M_4","5-19",5.213293,-0.1094793,0.01890524,-0.02136198,-0.004182234,-0.002368145,-0.0006514077,0.06709565,1.836479,0.004027665
"ME_M_4","5-19",5.22288,-0.07253385,0.04530241,-0.01727485,-0.005482209,-0.002448311,-0.001098049,0.06697686,1.83649,0.003956437
"ME_M_4","5-19",5.2334,0.1033095,0.02569875,0.07484178,-0.005562134,-0.002591166,-0.0002467138,0.06690289,1.836404,0.004006863
"ME_M_4","5-19",5.248264,0.2757851,-0.01287865,0.05511445,-0.003333254,-0.002651483,0.001162041,0.06691374,1.836342,0.004126787
"ME_M_4","5-19",5.269389,0.159168,-0.05788067,0.03176907,0.001267391,-0.002925138,0.001977022,0.06709082,1.836369,0.00418961
"ME_M_4","5-19",5.278872,0.03380608,-0.04933914,0.006120643,0.00261983,-0.003255652,0.00185503,0.06718661,1.836328,0.004202843
"ME_M_4","5-19",5.2892,0.05315369,-0.03414481,0.003968707,0.003409483,-0.003405792,0.00173746,0.06731607,1.836276,0.004196465
"ME_M_4","5-19",5.308591,0.00430881,-0.02216218,0.007480932,0.004176664,-0.003331389,0.001491855,0.06741397,1.836258,0.004180729
"ME_M_4","5-19",5.325056,0.05900319,-0.0581949,-0.00703213,0.004395574,-0.003516424,0.001549251,0.06749459,1.836223,0.004187882
"ME_M_4","5-19",5.334726,0.05975108,-0.01489038,0.02008517,0.004793355,-0.003823454,0.001909611,0.06757207,1.836169,0.004234076
"ME_M_4","5-19",5.344902,-0.02309252,-0.03155819,0.01612102,0.00484377,-0.003853366,0.002109671,0.06762733,1.836115,0.004281938
"ME_M_4","5-19",5.359541,-0.04978651,-0.005548887,0.001871424,0.004478291,-0.003549141,0.002079196,0.06768863,1.836103,0.004278958
"ME_M_4","5-19",5.380985,-0.05743436,0.00424799,0.04627501,0.003392141,-0.002968318,0.001997313,0.06768815,1.836089,0.004270136
"ME_M_4","5-19",5.391752,-0.05625584,0.04954866,0.01871535,0.003055514,-0.002550523,0.002231538,0.06769691,1.836087,0.004302502
"ME_M_4","5-19",5.400797,-0.00787918,0.0248764,0.03249201,0.002789143,-0.00204716,0.002449882,0.06771575,1.836087,0.00433898
"ME_M_4","5-19",5.420034,0.006485098,-0.01342845,0.02980913,0.002454485,-0.00157125,0.002925332,0.06770994,1.836099,0.004397035
"ME_M_4","5-19",5.436282,0.03241774,0.01465549,-0.009641819,0.002345883,-0.001203773,0.003094625,0.06774752,1.836123,0.004441082
"ME_M_4","5-19",5.44555,0.04021268,0.008825943,0.01897907,0.002640462,-0.0003536514,0.003134057,0.06781207,1.836173,0.004482806
"ME_M_4","5-19",5.456308,0.009274617,0.01065793,0.02317393,0.00273959,0.0001939068,0.003169506,0.06786133,1.836215,0.004521012
"ME_M_4","5-19",5.471091,-0.01752302,-0.0555505,0.03013966,0.002441572,0.0007252178,0.003387584,0.06789516,1.836252,0.004569411
"ME_M_4","5-19",5.49185,-0.009620366,-0.2866622,0.07536379,0.00162102,-0.001549726,0.003780205,0.06788401,1.836185,0.00461489
"ME_M_4","5-19",5.501492,-0.04485933,-0.08061081,-0.02436609,0.00115596,-0.002641991,0.003922397,0.06788425,1.836111,0.004671156
"ME_M_4","5-19",5.512211,-0.01718037,-0.003840839,0.02009457,0.001081782,-0.003634587,0.004119493,0.06791262,1.836038,0.004721224
"ME_M_4","5-19",5.531318,0.006806105,-0.0576704,0.08698046,0.0009435635,-0.003628124,0.005404624,0.06790371,1.83598,0.004852951
"ME_M_4","5-19",5.54776,-0.02555418,0.008765468,0.07394931,0.0009053534,-0.003242514,0.006154592,0.06791012,1.835991,0.004945278
"ME_M_4","5-19",5.557303,-0.05277139,0.01454828,0.0556086,0.0005720229,-0.002943775,0.00714843,0.06789573,1.835981,0.005075216
"ME_M_4","5-19",5.567319,-0.04963709,-0.06575351,0.07751983,0.0001816213,-0.00302163,0.007799612,0.06787635,1.835946,0.00520587
"ME_M_4","5-19",5.582689,-0.04306187,-0.1287565,-0.03816403,-0.0002692459,-0.004105521,0.008021194,0.06784789,1.835848,0.005315065
"ME_M_4","5-19",5.603412,-0.09987834,-0.1063099,-0.03639769,-0.001220947,-0.006127276,0.007445254,0.06777318,1.835739,0.005375326
"ME_M_4","5-19",5.612931,-0.07178213,-0.08476721,-0.05821736,-0.001882944,-0.006665673,0.0069632,0.06772517,1.835629,0.00544405
"ME_M_4","5-19",5.623419,-0.03793427,-0.03366717,-0.0688018,-0.002506563,-0.006779859,0.006226042,0.06765912,1.835542,0.005493164
