"ID","y"
"AS_M_1",-0.05166041
"AS_M_1",0.008096877
"AS_M_1",0.01685807
"AS_M_1",0.03257804
"AS_M_1",0.03497726
"AS_M_1",0.01512089
"AS_M_1",0.01625212
"AS_M_1",-0.02044786
"AS_M_1",-0.01663621
"AS_M_1",0.003395736
"AS_M_1",-0.01806908
"AS_M_1",0.0005553523
"AS_M_1",-0.07781424
"AS_M_1",-0.03659156
"AS_M_1",0.01757875
"AS_M_1",-0.08377416
"AS_M_1",-0.03268141
"AS_M_1",-0.01440194
"AS_M_1",-0.08481582
"AS_M_1",-0.03206306
"AS_M_1",0.003594186
"AS_M_1",-0.02442655
"AS_M_1",-0.009772464
"AS_M_1",0.008822634
"AS_M_1",-0.0104654
"AS_M_1",0.05692411
"AS_M_1",0.06696562
"AS_M_1",0.1124353
"AS_M_1",0.117727
"AS_M_1",0.1134942
"AS_M_1",0.1766126
"AS_M_1",0.1153074
"AS_M_1",-0.008734588
"AS_M_1",0.09805897
"AS_M_1",0.1616116
"AS_M_1",0.3115488
"AS_M_1",0.2051462
"AS_M_1",0.09850095
"AS_M_1",0.01485839
"AS_M_1",-0.09431218
"AS_M_1",-0.2396567
"AS_M_1",-0.1994863
"AS_M_1",-0.2209103
"AS_M_1",-0.2198644
"AS_M_1",-0.1033977
"AS_M_1",-0.09874272
"AS_M_1",-0.05402488
"AS_M_1",-0.1659228
"AS_M_1",-0.1839086
"AS_M_1",-0.3007807
"AS_M_1",-0.05718561
"AS_M_1",0.1427543
"AS_M_1",-0.02872801
"AS_M_1",-0.001923569
"AS_M_1",-0.01886641
"AS_M_1",-0.0342489
"AS_M_1",-0.1726803
"AS_M_1",-0.1755853
"AS_M_1",-0.1170487
"AS_M_1",0.0118152
"AS_M_1",0.02649118
"AS_M_1",0.01882179
"AS_M_1",-0.01975118
"AS_M_1",0.009830668
"AS_M_1",-0.1352464
"AS_M_1",0.02125711
"AS_M_1",0.09176377
"AS_M_1",0.0615498
"AS_M_1",-0.08901335
"AS_M_1",-0.1485454
"AS_M_1",-0.1537569
"AS_M_1",0.03629936
"AS_M_1",0.09152782
"AS_M_1",0.1630017
"AS_M_1",0.0809846
"AS_M_1",-0.0345102
"AS_M_1",0.0154179
"AS_M_1",-0.01094893
"AS_M_1",0.03293692
"AS_M_1",-0.009247584
"AS_M_1",-0.04121082
"AS_M_1",0.04992217
"AS_M_1",0.1210888
"AS_M_1",0.1351092
"AS_M_1",0.2346846
"AS_M_1",0.1399287
"AS_M_1",0.001276582
"AS_M_1",0.04519041
"AS_M_1",-0.002446214
"AS_M_1",0.0009814054
"AS_M_1",0.05330254
"AS_M_1",-0.0443638
"AS_M_1",0.02339271
"AS_M_1",-0.04006734
"AS_M_1",0.05281426
"AS_M_1",-0.02018524
"AS_M_1",0.1007141
"AS_M_1",-0.001102056
"AS_M_1",-0.0933179
"AS_M_1",-0.1376153
"AS_M_1",-0.1082024
"AS_M_1",-0.3386097
"AS_M_1",-0.5183209
"AS_M_1",-0.4672417
"AS_M_1",-0.08195332
"AS_M_1",0.3075792
"AS_M_1",0.2784858
"AS_M_1",0.09342705
"AS_M_1",-0.1247367
"AS_M_1",-0.1861347
"AS_M_1",-0.0644407
"AS_M_1",0.050134
"AS_M_1",0.006203629
"AS_M_1",-0.1727644
"AS_M_1",-0.1723544
"AS_M_1",-0.1240713
"AS_M_1",-0.1259944
"AS_M_1",0.09001917
"AS_M_1",0.029122
"AS_M_1",0.007467404
"AS_M_1",-0.01445591
"AS_M_1",0.1115019
"AS_M_1",0.171771
"AS_M_1",0.1886753
"AS_M_1",0.1124749
"AS_M_1",0.01475027
"AS_M_1",-0.0138753
"AS_M_1",-0.06113017
"AS_M_1",-0.000222927
"AS_M_1",7.736684E-05
"AS_M_1",-0.04335249
"AS_M_1",-0.1293373
"AS_M_1",-0.08135719
"AS_M_1",-0.0003666058
"AS_M_1",-0.01831665
"AS_M_1",-0.0005055409
"AS_M_1",-0.02450416
"AS_M_1",-0.09985083
"AS_M_1",-0.04928255
"AS_M_1",-0.07383747
"AS_M_1",-0.06820816
"AS_M_1",-0.03327575
"AS_M_1",0.02635067
"AS_M_1",-0.03390503
"AS_M_1",-0.02288521
"AS_M_1",0.01953704
"AS_M_1",-0.001475275
"AS_M_1",-0.002402243
"AS_M_1",-0.03579798
"AS_M_1",-0.07319047
"AS_M_1",-0.04337288
"AS_M_1",-0.02854413
"AS_M_1",-0.04563741
"AS_M_1",0.01107107
"AS_M_1",0.02254506
"AS_M_1",-0.005253476
"AS_M_1",0.01230434
"AS_M_1",-0.01054959
"AS_M_1",-0.0433383
"AS_M_1",0.007143028
"AS_M_1",0.03786163
"AS_M_1",0.05482193
"AS_M_1",0.003407436
"AS_M_1",0.005725668
"AS_M_1",-0.02028942
"AS_M_1",-0.003526345
"AS_M_1",-0.03568079
"AS_M_1",0.01010049
"AS_M_1",-0.01007288
"AS_M_1",-0.03399191
"AS_M_1",0.002941443
"AS_M_1",0.01434535
"AS_M_1",0.0324239
"AS_M_1",0.09374894
"AS_M_1",0.004133302
"AS_M_1",-0.03295868
"AS_M_1",-0.05536047
"AS_M_1",-0.02349427
"AS_M_1",0.009799024
"AS_M_1",-0.02293975
"AS_M_1",0.04257078
"AS_M_1",0.0573647
"AS_M_1",0.03825672
"AS_M_1",0.009470597
"AS_M_1",0.01316535
"AS_M_1",0.0183977
"AS_M_1",0.1564265
"AS_M_1",0.2020917
"AS_M_1",0.3363414
"AS_M_1",0.2031345
"AS_M_1",-0.2907325
"AS_M_1",-0.2611225
"AS_M_1",-0.2238294
"AS_M_1",-0.1865625
"AS_M_1",-0.0177895
"AS_M_1",-0.04572429
"AS_M_1",-0.06996361
"AS_M_1",-0.07498647
"AS_M_1",-0.008998271
"AS_M_1",-0.04280132
"AS_M_1",-0.0286678
"AS_M_1",-0.1870863
"AS_M_1",0.0310118
"AS_M_1",0.05890395
"AS_M_1",0.04825464
"AS_M_1",0.08537268
"AS_M_1",0.1522751
"AS_M_1",0.09081188
"AS_M_1",0.1703336
"AS_M_1",-0.0434635
"AS_M_1",-0.1080495
"AS_M_1",-0.08146768
"AS_M_1",-0.06780583
"AS_M_1",-0.1006218
"AS_M_1",-0.04616721
"AS_M_1",0.003224697
"AS_M_1",-0.083542
"AS_M_1",-0.03900323
"AS_M_1",-0.1050524
"AS_M_1",-0.08001976
"AS_M_1",-0.06850675
"AS_M_1",-0.06783804
"AS_M_1",-0.0152107
"AS_M_1",0.00741838
"AS_M_1",-0.01120397
"AS_M_1",-0.02256343
"AS_M_1",0.04086449
"AS_M_1",0.09833734
"AS_M_1",0.01676505
"AS_M_1",0.09217359
"AS_M_1",0.0252468
"AS_M_1",-0.0399909
"AS_M_1",-0.08978782
"AS_M_1",-0.1040889
"AS_M_1",0.0001590252
"AS_M_1",0.02217819
"AS_M_1",0.000680197
"AS_M_1",-0.05418292
"AS_M_1",-0.08726021
"AS_M_1",-0.0816719
"AS_M_1",0.04642939
"AS_M_1",0.08678403
"AS_M_1",0.06787392
"AS_M_1",0.003436018
"AS_M_1",-0.007596636
"AS_M_1",0.02240053
"AS_M_1",-0.03896954
"AS_M_1",-0.0742075
"AS_M_1",0.05656699
"AS_M_1",0.1291293
"AS_M_1",0.2427474
"AS_M_1",0.2140089
"AS_M_1",0.1267781
"AS_M_1",0.1685327
"AS_M_1",0.2888674
"AS_M_1",0.333782
"AS_M_1",0.4692275
"AS_M_1",0.3652093
"AS_M_1",0.2251804
"AS_M_1",0.1608311
"AS_M_1",-0.132363
"AS_M_1",-0.1942257
"AS_M_1",-0.4555658
"AS_M_1",-0.4815114
"AS_M_1",-0.5964631
"AS_M_1",-0.5193028
"AS_M_1",-0.435706
"AS_M_1",-0.3247134
"AS_M_1",-0.3552954
"AS_M_1",-0.4313507
"AS_M_1",-0.4462288
"AS_M_1",-0.3265423
"AS_M_1",0.2341111
"AS_M_1",0.1883182
"AS_M_1",-0.08530942
"AS_M_1",-0.05034948
"AS_M_1",0.1958217
"AS_M_1",0.09996039
"AS_M_1",0.01068752
"AS_M_1",0.04746754
"AS_M_1",-0.01402108
"AS_M_1",-0.09143255
"AS_M_1",0.01056929
"AS_M_1",0.1200442
"AS_M_1",0.1624231
"AS_M_1",0.1229774
"AS_M_1",0.06473567
"AS_M_1",-0.03198268
"AS_M_1",-0.1169547
"AS_M_1",0.01032804
"AS_M_1",-0.0364565
"AS_M_1",0.03761493
"AS_M_1",-0.05598057
"AS_M_1",-0.007215185
"AS_M_1",0.01557979
"AS_M_1",-0.04958953
"AS_M_1",-0.07184793
"AS_M_1",-0.05986043
"AS_M_1",-0.053254
"AS_M_1",0.02236683
"AS_M_1",0.02825745
"AS_M_1",-0.01599918
"AS_M_1",-0.03772061
"AS_M_1",-0.0324372
"AS_M_1",0.02755226
"AS_M_1",0.05683276
"AS_M_1",0.04257949
"AS_M_1",0.04737547
"AS_M_1",0.04508021
"AS_M_1",0.1517124
"AS_M_1",0.1315548
"AS_M_1",0.1294137
"AS_M_1",0.1367954
"AS_M_1",0.2719934
"AS_M_1",0.3242832
"AS_M_1",0.3266548
