ID,y
AS_F_1,-0.03679086
AS_F_1,0.01850067
AS_F_1,0.004292945
AS_F_1,0.04304177
AS_F_1,0.0411629
AS_F_1,-0.001936354
AS_F_1,-0.007955229
AS_F_1,0.03721361
AS_F_1,0.06908901
AS_F_1,0.006919427
AS_F_1,0.02161069
AS_F_1,-0.01139099
AS_F_1,-0.04952624
AS_F_1,-0.07449117
AS_F_1,-0.04902131
AS_F_1,-0.008982178
AS_F_1,0.009535494
AS_F_1,-0.02123445
AS_F_1,0.0001354218
AS_F_1,0.07127698
AS_F_1,0.01329556
AS_F_1,-0.0330296
AS_F_1,-0.08751594
AS_F_1,-0.1173786
AS_F_1,-0.1256093
AS_F_1,-0.08435717
AS_F_1,-0.0455217
AS_F_1,-0.03208259
AS_F_1,-0.01239026
AS_F_1,0.07238236
AS_F_1,0.04449166
AS_F_1,0.01203637
AS_F_1,-0.004731916
AS_F_1,0.06822126
AS_F_1,0.03072022
AS_F_1,-0.01958192
AS_F_1,-0.0926525
AS_F_1,-0.08622233
AS_F_1,-0.07042713
AS_F_1,-0.04179791
AS_F_1,0.008450771
AS_F_1,-0.0264419
AS_F_1,-0.03390899
AS_F_1,-0.2707758
AS_F_1,0.05691691
AS_F_1,-0.02140437
AS_F_1,0.03128584
AS_F_1,-0.1030342
AS_F_1,-0.1375584
AS_F_1,-0.09268943
AS_F_1,-0.04191044
AS_F_1,-0.00368125
AS_F_1,0.01400969
AS_F_1,-0.004847132
AS_F_1,0.02536619
AS_F_1,0.04007972
AS_F_1,0.04630129
AS_F_1,0.02391256
AS_F_1,-0.02507949
AS_F_1,-0.05989902
AS_F_1,-0.03282622
AS_F_1,-0.09358692
AS_F_1,-0.03894408
AS_F_1,-0.05632829
AS_F_1,-0.07424968
AS_F_1,-0.02151265
AS_F_1,0.006354533
AS_F_1,0.0008959696
AS_F_1,0.03225481
AS_F_1,0.006321788
AS_F_1,-0.001226542
AS_F_1,0.02404351
AS_F_1,0.06477468
AS_F_1,-0.01619808
AS_F_1,0.03190328
AS_F_1,-0.008448244
AS_F_1,-0.001410909
AS_F_1,0.01396336
AS_F_1,0.07607035
AS_F_1,-0.001598895
AS_F_1,0.01958361
AS_F_1,-0.07972224
AS_F_1,-0.06040586
AS_F_1,-0.02597651
AS_F_1,0.04533394
AS_F_1,-0.05472038
AS_F_1,-0.1724857
AS_F_1,-0.04366465
AS_F_1,-0.1036011
AS_F_1,0.001695821
AS_F_1,0.01985669
AS_F_1,-0.04762246
AS_F_1,-0.09991982
AS_F_1,-0.03551414
AS_F_1,-0.002195604
AS_F_1,0.0505689
AS_F_1,0.102437
AS_F_1,0.0709703
AS_F_1,-0.05352921
AS_F_1,-0.0769076
AS_F_1,-0.01391913
AS_F_1,-0.008563522
AS_F_1,0.1440648
AS_F_1,0.1800881
AS_F_1,0.08968654
AS_F_1,0.007426411
AS_F_1,-0.09344113
AS_F_1,-0.05878393
AS_F_1,-0.1234682
AS_F_1,-0.08515565
AS_F_1,-0.04907743
AS_F_1,-0.08127512
AS_F_1,-0.0382745
AS_F_1,-0.0410893
AS_F_1,-0.07109061
AS_F_1,0.003369957
AS_F_1,0.008917799
AS_F_1,0.05009999
AS_F_1,0.002283777
AS_F_1,-0.03946529
AS_F_1,-0.04050394
AS_F_1,-0.02418548
AS_F_1,0.01953876
AS_F_1,0.02236888
AS_F_1,0.01008275
AS_F_1,0.008157071
AS_F_1,-0.07610309
AS_F_1,-0.03213864
AS_F_1,-0.04575926
AS_F_1,-0.02932916
AS_F_1,-0.04572571
AS_F_1,-0.01890876
AS_F_1,-0.08765074
AS_F_1,-0.1133723
AS_F_1,-0.03677338
AS_F_1,-0.01907727
AS_F_1,0.03167629
AS_F_1,0.0003545769
AS_F_1,-0.06820059
AS_F_1,-0.01105585
AS_F_1,-0.0370191
AS_F_1,0.06058812
AS_F_1,0.01707425
AS_F_1,0.009920529
AS_F_1,-0.009540621
AS_F_1,0.008185914
AS_F_1,0.04678598
AS_F_1,0.004156922
AS_F_1,-0.02099174
AS_F_1,-0.05345326
AS_F_1,-0.02938221
AS_F_1,-0.002917077
AS_F_1,0.05486026
AS_F_1,0.003364412
AS_F_1,-0.04758258
AS_F_1,0.003690827
AS_F_1,-0.01666838
AS_F_1,0.0154858
AS_F_1,-0.0001840089
AS_F_1,-0.008599404
AS_F_1,-0.003941733
AS_F_1,0.03836051
AS_F_1,-0.01443249
AS_F_1,0.006371921
AS_F_1,0.01370697
AS_F_1,-0.02612007
AS_F_1,-0.05347953
AS_F_1,-0.02245965
AS_F_1,-0.004030168
AS_F_1,-0.0191723
AS_F_1,-0.08507808
AS_F_1,-0.2264194
AS_F_1,-0.2784499
AS_F_1,-0.1326346
AS_F_1,-0.05115776
AS_F_1,0.06357003
AS_F_1,0.07750493
AS_F_1,0.008247275
AS_F_1,-0.02050928
AS_F_1,0.07093541
AS_F_1,0.06981945
AS_F_1,0.07893933
AS_F_1,0.06276581
AS_F_1,0.01228984
AS_F_1,-0.0006220499
AS_F_1,0.01741896
AS_F_1,0.01231143
AS_F_1,-0.04337912
AS_F_1,-0.06634583
AS_F_1,-0.06950483
AS_F_1,-0.06004067
AS_F_1,-0.05242999
AS_F_1,-0.0543573
AS_F_1,-0.02620934
AS_F_1,-0.0681022
AS_F_1,-0.02573862
AS_F_1,-0.1408042
AS_F_1,0.01567522
AS_F_1,0.01146343
AS_F_1,0.06282164
AS_F_1,0.01873087
AS_F_1,0.01026489
AS_F_1,0.0215849
AS_F_1,0.0602452
AS_F_1,0.0596834
AS_F_1,-0.005716853
AS_F_1,-0.007194882
AS_F_1,-0.001321979
AS_F_1,-0.006224979
AS_F_1,0.01351074
AS_F_1,-0.04900268
AS_F_1,-0.07146177
AS_F_1,-0.08629119
AS_F_1,-0.01174245
AS_F_1,0.0009568483
AS_F_1,-0.0607704
AS_F_1,0.01186222
AS_F_1,0.04740578
AS_F_1,0.0190971
AS_F_1,0.06284011
AS_F_1,-0.03029067
AS_F_1,-0.02990553
AS_F_1,-0.01851727
AS_F_1,0.08092739
AS_F_1,0.01278854
AS_F_1,0.1193578
AS_F_1,0.006112203
AS_F_1,-0.03850684
AS_F_1,-0.09852433
AS_F_1,0.0362998
AS_F_1,0.04312741
AS_F_1,0.02438914
AS_F_1,-0.009629589
AS_F_1,-0.07985188
AS_F_1,0.04750948
AS_F_1,0.057069
AS_F_1,0.04748555
AS_F_1,0.03437087
AS_F_1,0.0541738
AS_F_1,-0.3565921
AS_F_1,-0.1595155
AS_F_1,-0.02955838
AS_F_1,0.1315819
AS_F_1,-0.003853537
AS_F_1,-0.08436331
AS_F_1,-0.06994784
AS_F_1,0.01963658
AS_F_1,0.0762163
AS_F_1,0.1073374
AS_F_1,0.07787784
AS_F_1,0.05625109
AS_F_1,6.638095E-05
AS_F_1,-0.03446674
AS_F_1,0.0008486854
AS_F_1,0.01259339
AS_F_1,-0.01564944
AS_F_1,-0.003194312
AS_F_1,-0.02424201
AS_F_1,-0.08130715
AS_F_1,-0.03560356
AS_F_1,0.02278775
AS_F_1,-0.06924437
AS_F_1,-0.1223885
AS_F_1,-0.1059099
AS_F_1,-0.05988696
AS_F_1,-0.06698885
AS_F_1,-0.06142158
AS_F_1,-0.06791458
AS_F_1,-0.05095868
AS_F_1,-0.02034445
AS_F_1,0.02157559
AS_F_1,0.09310334
AS_F_1,0.0003389232
AS_F_1,-0.002253739
AS_F_1,0.02036463
AS_F_1,0.008205224
AS_F_1,-0.004591376
AS_F_1,0.05476999
AS_F_1,0.03869326
AS_F_1,0.001550894
AS_F_1,-0.0004742183
AS_F_1,-0.02467529
AS_F_1,0.009168779
AS_F_1,-0.004705025
AS_F_1,-0.02212022
AS_F_1,-0.04628441
AS_F_1,-0.04948727
AS_F_1,-0.01775515
AS_F_1,0.005932281
AS_F_1,-0.02558214
AS_F_1,-0.02775219
AS_F_1,-0.01278225
