Pos_x,Pos_y,Pos_z
-0.0248915,2.1143650000000003,0.03172058
-0.0250535,2.114363,0.03186208
-0.02506524,2.1142819999999998,0.0319401
-0.02504933,2.1143009999999998,0.03194261
-0.02505356,2.114312,0.03195357
-0.0250479,2.114325,0.03195745
-0.02506483,2.114335,0.031993
-0.02504754,2.114354,0.03204459
-0.02504241,2.114343,0.03209466
-0.02504563,2.11433,0.03213462
-0.02503276,2.114348,0.03215417
-0.0250054,2.114312,0.03218699
-0.02496386,2.114266,0.03220379
-0.02491438,2.114239,0.03218931
-0.02488488,2.114186,0.03219542
-0.02487552,2.114148,0.03219107
-0.02484024,2.114114,0.03218406
-0.02483475,2.114111,0.03218424
-0.02483726,2.114141,0.03216901
-0.02487129,2.1141509999999997,0.03215873
-0.02489853,2.1141400000000004,0.03215277
-0.02491486,2.114143,0.03212959
-0.02492464,2.114148,0.03210232
-0.02492404,2.1141490000000003,0.03206909
-0.02493417,2.1141400000000004,0.03205585
-0.02490872,2.1141360000000002,0.03203523
-0.02488208,2.11415,0.03201717
-0.02484947,2.114187,0.032000299999999995
-0.02482551,2.114203,0.03198129
-0.02480489,2.114223,0.03196394
-0.02475506,2.11425,0.03193885
-0.02472782,2.1142819999999998,0.03192681
-0.02470821,2.1142950000000003,0.03190285
-0.02468729,2.114306,0.03187439
-0.02467406,2.11429,0.03184626
-0.02465206,2.114292,0.03181693
-0.0246495,2.1143080000000003,0.03180623
-0.02463973,2.114335,0.03180322
-0.02464896,2.114378,0.03181773
-0.0246594,2.114411,0.03183368
-0.02465647,2.114423,0.03183854
-0.024640799999999997,2.114435,0.03183278
-0.02464128,2.114414,0.03183654
-0.0246793,2.114391,0.031838
-0.02471399,2.114379,0.03183436
-0.02474475,2.11437,0.03182358
-0.02477396,2.114388,0.0317907
-0.02482504,2.114394,0.03176439
-0.02486247,2.11439,0.03175011
-0.02488875,2.114386,0.03172868
-0.02493608,2.114419,0.03172931
-0.02495676,2.1144700000000003,0.03172338
-0.02497268,2.1144849999999997,0.03171772
-0.02498418,2.114535,0.03170758
-0.02498788,2.114577,0.031708
-0.02496952,2.1147150000000003,0.03178111
-0.02496845,2.114847,0.03185254
-0.02498001,2.115057,0.03196281
-0.02500498,2.11544,0.03210101
-0.02500427,2.1168150000000003,0.03244632
-0.02500266,2.117672,0.03266254
-0.02506465,2.1184369999999997,0.0328598
-0.02517098,2.118948,0.03308582
-0.02528,2.119168,0.0331634
-0.0253858,2.119634,0.03337443
-0.02542251,2.119942,0.03339255
-0.02550387,2.12022,0.03343651
-0.02556366,2.1203990000000004,0.03336817
-0.02566803,2.120666,0.03330636
