ID,z
AS_F_1,-0.03446694
AS_F_1,-0.0309569
AS_F_1,-0.05888967
AS_F_1,0.009286284
AS_F_1,-0.05846197
AS_F_1,-0.004051966
AS_F_1,-0.007240449
AS_F_1,-0.02629005
AS_F_1,-0.04898708
AS_F_1,-0.02118709
AS_F_1,-0.02117669
AS_F_1,0.009847531
AS_F_1,0.01942982
AS_F_1,0.01016937
AS_F_1,0.04538719
AS_F_1,0.01783424
AS_F_1,-0.009890786
AS_F_1,0.01736907
AS_F_1,-0.004702795
AS_F_1,0.0001002116
AS_F_1,0.03016431
AS_F_1,0.04936592
AS_F_1,0.05366767
AS_F_1,0.03411194
AS_F_1,0.01702217
AS_F_1,0.02255945
AS_F_1,0.01349882
AS_F_1,-0.01927377
AS_F_1,0.00739457
AS_F_1,4.455907E-05
AS_F_1,-0.009653609
AS_F_1,-0.01077718
AS_F_1,-0.007248212
AS_F_1,-0.001103411
AS_F_1,-0.04164502
AS_F_1,-0.002364822
AS_F_1,-0.01627132
AS_F_1,0.01059395
AS_F_1,0.01233171
AS_F_1,-0.00154222
AS_F_1,0.03433062
AS_F_1,0.01871209
AS_F_1,-0.0102496
AS_F_1,-0.002108615
AS_F_1,-0.02431802
AS_F_1,-0.01717942
AS_F_1,-0.01305108
AS_F_1,-0.0169136
AS_F_1,-0.03213153
AS_F_1,-0.02474406
AS_F_1,0.001141398
AS_F_1,0.01390034
AS_F_1,-0.02583376
AS_F_1,-0.03307372
AS_F_1,-0.01408534
AS_F_1,0.0006044687
AS_F_1,0.01013242
AS_F_1,-0.03758891
AS_F_1,-0.02017142
AS_F_1,-0.08585337
AS_F_1,-0.09624203
AS_F_1,-0.1159667
AS_F_1,-0.1000767
AS_F_1,-0.0795963
AS_F_1,-0.1047899
AS_F_1,-0.04152623
AS_F_1,-0.04673145
AS_F_1,-0.07674489
AS_F_1,-0.05322938
AS_F_1,-0.00452259
AS_F_1,-0.0280171
AS_F_1,0.07388665
AS_F_1,-0.03079928
AS_F_1,-0.01717414
AS_F_1,-0.06444886
AS_F_1,-0.04136176
AS_F_1,-0.04599851
AS_F_1,0.006671617
AS_F_1,0.009494551
AS_F_1,0.003967122
AS_F_1,0.01458606
AS_F_1,0.02091177
AS_F_1,0.01566784
AS_F_1,-0.002875227
AS_F_1,0.01758879
AS_F_1,0.00939883
AS_F_1,0.02123675
AS_F_1,0.04400825
AS_F_1,0.03232963
AS_F_1,0.02553352
AS_F_1,-0.008463031
AS_F_1,0.02165111
AS_F_1,0.0222932
AS_F_1,-0.004013391
AS_F_1,-0.02103454
AS_F_1,-0.03475606
AS_F_1,-0.0238848
AS_F_1,-0.03388345
AS_F_1,0.001579707
AS_F_1,-0.0142582
AS_F_1,-0.0212231
AS_F_1,-0.013914
AS_F_1,0.03757143
AS_F_1,0.03075688
AS_F_1,0.02426114
AS_F_1,0.04490203
AS_F_1,0.01616711
AS_F_1,0.02086696
AS_F_1,-0.02244343
AS_F_1,-0.03888206
AS_F_1,0.02534331
AS_F_1,0.007652999
AS_F_1,0.0363135
AS_F_1,-0.01459006
AS_F_1,-0.0003360645
AS_F_1,-0.007307299
AS_F_1,-0.006306828
AS_F_1,-0.04682125
AS_F_1,-0.05242668
AS_F_1,-0.09187836
AS_F_1,-0.02934593
AS_F_1,-0.03571957
AS_F_1,-0.05481744
AS_F_1,-0.03536541
AS_F_1,-0.003371716
AS_F_1,0.02771116
AS_F_1,-0.01111866
AS_F_1,-0.0458038
AS_F_1,0.01783427
AS_F_1,0.056103
AS_F_1,0.06046578
AS_F_1,0.01310826
AS_F_1,0.02930733
AS_F_1,0.03147084
AS_F_1,-0.02758048
AS_F_1,0.01640653
AS_F_1,0.0199321
AS_F_1,0.01155134
AS_F_1,0.02401865
AS_F_1,0.01513659
AS_F_1,0.03874338
AS_F_1,0.04245369
AS_F_1,-0.02489519
AS_F_1,0.00260372
AS_F_1,0.03847962
AS_F_1,0.06250158
AS_F_1,0.03462194
AS_F_1,-0.004825708
AS_F_1,-0.05554788
AS_F_1,-0.05941702
AS_F_1,-0.0400945
AS_F_1,-0.00898354
AS_F_1,-0.02895718
AS_F_1,0.001331404
AS_F_1,0.03621823
AS_F_1,0.02268322
AS_F_1,-0.03853141
AS_F_1,-0.02330169
AS_F_1,0.03728939
AS_F_1,0.007145439
AS_F_1,-0.01211858
AS_F_1,0.0241204
AS_F_1,-0.005418392
AS_F_1,0.03021584
AS_F_1,0.02537867
AS_F_1,0.06047683
AS_F_1,0.01800042
AS_F_1,-0.005621376
AS_F_1,0.01132973
AS_F_1,-0.004012179
AS_F_1,-0.0569487
AS_F_1,-0.03565696
AS_F_1,0.0232977
AS_F_1,-0.0172423
AS_F_1,-0.004976778
AS_F_1,0.01937757
AS_F_1,-0.04590528
AS_F_1,0.01686748
AS_F_1,0.03752269
AS_F_1,0.01377359
AS_F_1,0.05627893
AS_F_1,-0.005259671
AS_F_1,0.02707729
AS_F_1,0.01624577
AS_F_1,-0.01165187
AS_F_1,-0.01020516
AS_F_1,0.01263481
AS_F_1,0.02122312
AS_F_1,-0.01625675
AS_F_1,0.01186024
AS_F_1,-0.008742847
AS_F_1,-0.03885934
AS_F_1,0.005900471
AS_F_1,-0.01229513
AS_F_1,-0.01771122
AS_F_1,-0.03583794
AS_F_1,-0.01694583
AS_F_1,-0.006491988
AS_F_1,-0.003107617
AS_F_1,-0.001822286
AS_F_1,-0.004496307
AS_F_1,-0.008607388
AS_F_1,-0.1123275
AS_F_1,-0.04750704
AS_F_1,-0.02122461
AS_F_1,0.0273449
AS_F_1,-0.001466343
AS_F_1,-0.03507402
AS_F_1,-0.02819946
AS_F_1,0.01395984
AS_F_1,0.06579641
AS_F_1,0.05234089
AS_F_1,0.05514987
AS_F_1,-0.03240467
AS_F_1,0.01112958
AS_F_1,0.003728603
AS_F_1,-0.04090414
AS_F_1,-0.03397547
AS_F_1,-0.143563
AS_F_1,-0.1418189
AS_F_1,-0.1371171
AS_F_1,-0.06706784
AS_F_1,-0.06146573
AS_F_1,-0.1352647
AS_F_1,-0.1220445
AS_F_1,-0.1333822
AS_F_1,-0.08159718
AS_F_1,-0.03458966
AS_F_1,-0.07588498
AS_F_1,-0.1115403
AS_F_1,-0.07396913
AS_F_1,-0.0129932
AS_F_1,-0.007693216
AS_F_1,-0.009241992
AS_F_1,-0.004274055
AS_F_1,0.005640606
AS_F_1,0.03865695
AS_F_1,0.06302686
AS_F_1,0.04729464
AS_F_1,0.1178535
AS_F_1,0.09885345
AS_F_1,0.1294212
AS_F_1,0.1221399
AS_F_1,0.0876812
AS_F_1,0.1370496
AS_F_1,0.1941133
AS_F_1,0.1471912
AS_F_1,0.09136834
AS_F_1,0.0549187
AS_F_1,0.05463716
AS_F_1,0.06471327
AS_F_1,0.1071022
AS_F_1,0.0566862
AS_F_1,0.0447588
AS_F_1,0.00847628
AS_F_1,-0.1266499
AS_F_1,0.03903104
AS_F_1,-0.002559685
AS_F_1,0.0117229
AS_F_1,-0.0417631
AS_F_1,-0.05514396
AS_F_1,-0.06281681
AS_F_1,-0.009356569
AS_F_1,0.04758723
AS_F_1,-0.0137164
AS_F_1,0.00539897
AS_F_1,-0.03999218
AS_F_1,-0.02589366
AS_F_1,-0.01799636
AS_F_1,-0.033284
AS_F_1,0.001553397
AS_F_1,-0.001083274
AS_F_1,0.002421586
AS_F_1,-0.02326398
AS_F_1,-0.005787153
AS_F_1,0.02968368
AS_F_1,-0.04492461
AS_F_1,-0.02666214
AS_F_1,-0.04872793
AS_F_1,-0.007559443
AS_F_1,0.03314445
AS_F_1,-0.004547269
AS_F_1,-0.0858741
AS_F_1,-0.04104784
AS_F_1,-0.02155063
AS_F_1,-0.005989659
AS_F_1,-0.009455408
AS_F_1,-0.04687274
AS_F_1,-0.02368984
AS_F_1,0.02296172
AS_F_1,-0.03056878
AS_F_1,0.004718237
AS_F_1,-0.003069568
AS_F_1,-0.001431068
AS_F_1,0.003030304
AS_F_1,-0.007655989
AS_F_1,0.01878785
AS_F_1,-0.04932945
AS_F_1,-0.01873241
AS_F_1,-0.0286175
AS_F_1,0.0003534204
AS_F_1,-0.02908438
AS_F_1,-0.006702728
AS_F_1,0.07651689
AS_F_1,0.07971483
AS_F_1,-0.01655062
AS_F_1,-0.00786278
AS_F_1,-0.03737726
AS_F_1,0.01453085
AS_F_1,-0.04589562
AS_F_1,-0.003078412
AS_F_1,-0.007646432
AS_F_1,0.03309005
AS_F_1,0.006379311
AS_F_1,-0.01676644
AS_F_1,0.01884337
AS_F_1,-0.007164089
AS_F_1,-0.0296494
AS_F_1,0.004982992
AS_F_1,-0.02104404
AS_F_1,0.04162499
AS_F_1,0.02496313
AS_F_1,-0.003983662
AS_F_1,-0.01663376
AS_F_1,0.002631923
AS_F_1,-0.01540959
AS_F_1,0.02206009
AS_F_1,-0.02327045
AS_F_1,-0.01922817
AS_F_1,0.01844414
AS_F_1,0.005272408
AS_F_1,0.009093601
AS_F_1,0.02550046
AS_F_1,-0.001711734
AS_F_1,0.03541245
AS_F_1,-0.01012994
AS_F_1,0.03757733
AS_F_1,0.04056159
AS_F_1,0.01797697
AS_F_1,0.005742742
AS_F_1,0.02702757
AS_F_1,0.005827623
AS_F_1,0.03847183
AS_F_1,0.01285797
AS_F_1,-0.005374583
AS_F_1,0.01935499
AS_F_1,0.01795556
AS_F_1,0.006360966
AS_F_1,0.06879869
AS_F_1,-0.02143376
AS_F_1,-0.02778268
AS_F_1,-0.03457871
AS_F_1,0.02082364
AS_F_1,0.01885278
AS_F_1,0.03200123
AS_F_1,0.00327598
AS_F_1,0.03839494
